accelerometer_X,accelerometer_Y,accelerometer_Z,idle
1.000776,4.616021,8.576031,1
0.718261,4.209007,8.446744,1
-0.909797,-0.282516,9.203311,1
5.09965,0.148441,8.418014,1
1.762132,-0.162806,9.251195,1
-0.086191,-0.148441,9.787497,1
-0.062249,-0.191536,9.773131,1
-0.057461,-0.114922,9.763555,1
-0.124498,-0.162806,9.782708,1
-0.138864,-0.124498,9.768343,1
-0.095768,-0.129287,9.773131,1
-0.114922,-0.134075,9.782708,1
-0.114922,-0.134075,9.744401,1
-0.09098,-0.143652,9.773131,1
-0.095768,-0.129287,9.782708,1
-0.105345,-0.114922,9.763555,1
-0.148441,-0.148441,9.787497,1
-0.134075,-0.105345,9.773131,1
-0.100556,-0.124498,9.763555,1
-0.081403,-0.110133,9.744401,1
-0.124498,-0.153229,9.773131,1
-0.320823,-0.191536,9.792285,1
0.148441,-0.234632,9.768343,1
0.407014,0.023942,9.80665,1
-0.311246,-0.167594,9.768343,1
-0.038307,-0.244209,9.782708,1
-0.114922,-0.158017,9.801862,1
-0.124498,-0.114922,9.758766,1
-0.167594,-0.124498,9.667787,1
-0.11971,-0.124498,9.792285,1
