accelerometer_X,accelerometer_Y,accelerometer_Z,idle
-4.151545,1.781286,2.173935,0
2.020706,3.706224,9.921572,0
1.762132,4.242526,8.078037,0
-0.445322,11.080365,6.756438,0
5.573702,13.43626,15.05474,0
1.781286,3.854665,7.685388,0
-4.941632,3.677494,4.376601,0
6.416461,-3.1795,-2.197877,0
18.780119,19.091364,25.775976,0
4.007894,13.273455,5.683835,0
0.004788,-8.925584,-4.19943,0
9.552865,6.196194,15.389929,0
2.853889,8.197747,11.425131,0
3.394978,-9.375694,-2.892196,0
7.196971,9.878476,0.718261,0
18.904617,15.370775,16.184803,0
2.978387,-0.948104,2.221819,0
0.430956,8.872911,2.475605,0
13.924677,6.224925,0.890643,0
1.58975,-6.933608,-4.003105,0
1.733402,7.268797,2.662352,0
22.141577,17.166426,7.196971,0
2.75812,-0.138864,4.644751,0
-2.566584,4.582502,11.377247,0
22.720974,5.401319,2.413355,0
21.86385,12.014104,8.130709,0
-3.232172,7.479486,2.116475,0
-1.819593,-16.778566,-3.552995,0
4.161122,18.50239,9.562442,0
-0.258574,9.414001,3.96001,0
