accelerometer_X,accelerometer_Y,accelerometer_Z,idle
6.727707,2.973599,3.936068,0
7.891289,0.440533,-3.342306,0
6.301539,-1.154005,0.067038,0
4.534618,-5.755661,-1.369483,0
4.563349,-3.730166,-0.02873,0
-0.972046,-6.660669,-2.954445,0
-2.868254,-5.497087,0.23942,0
2.767697,-4.932055,0.110133,0
2.470816,-7.718906,2.949657,0
4.941633,-6.833051,-1.699883,0
1.168371,-9.816227,1.910573,0
8.073248,-5.856217,-1.359906,0
3.366248,-16.82645,1.168371,0
7.015011,-16.845604,-7.517793,0
4.697424,-9.074024,-0.866701,0
-1.546654,-1.508347,0.3304,0
3.830723,-12.014104,-1.158794,0
2.418144,-9.002198,0.823605,0
3.529053,-7.43639,1.905785,0
0.986411,-17.3005,-0.383072,0
-4.582502,-7.862558,9.792285,0
1.910573,-5.985504,-1.599327,0
4.458004,-6.914454,-5.401319,0
2.475605,-8.705317,-0.373495,0
-1.120486,-5.803545,2.044648,0
-2.39899,-8.451532,4.055778,0
5.64074,-8.566454,1.029507,0
-0.828394,-0.483629,10.582372,0
4.491523,-7.393295,-1.58975,0
4.97994,-10.127473,-14.422671,0
