accelerometer_X,accelerometer_Y,accelerometer_Z,idle
2.322376,3.643975,11.827356,0
1.781286,4.668694,6.14831,0
7.963115,-4.113238,1.359907,0
1.996764,-1.398214,1.163582,0
5.185841,-12.143391,4.687847,0
11.219229,-10.625467,-8.087613,0
10.888829,-13.939042,-1.273715,0
9.902418,-9.667787,-0.110133,0
8.09719,-20.9349,1.393425,0
5.655105,-11.573571,-1.106121,0
12.363658,-18.253393,-21.44247,0
5.171476,-9.169792,0.407014,0
-1.92015,-3.648763,0.244209,0
0.11971,-7.819463,0.234632,0
4.908114,-11.271901,-2.561796,0
0.363919,-15.289372,-1.977611,0
5.075708,-10.682928,-1.565808,0
-2.097321,-13.431472,4.252103,0
4.563349,-10.31901,0.45011,0
0.837971,-5.544971,-1.441309,0
2.537854,-8.408437,0.277727,0
2.494758,-5.980716,2.312799,0
-2.351106,-14.432248,-0.972046,0
6.540959,-10.903194,-2.03986,0
5.214572,-10.749966,-6.234501,0
4.644751,-12.392388,-1.211466,0
5.923255,-13.977349,-7.785944,0
5.33907,-9.495404,0.632069,0
-2.389413,-4.831499,0.938527,0
-0.21069,-8.872911,0.043096,0
